id,type,title,description,genres,rating,releaseDate,posterUrl,backdropUrl,additionalData
3082,MOVIE,Modern Times,"A bumbling tramp desires to build a home with a young woman, yet is thwarted time and time again by his lack of experience and habit of being in the wrong place at the wrong time..",Genre 35;Genre 18;Genre 10749,8.281,1936-02-05,https://image.tmdb.org/t/p/w500/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg,https://image.tmdb.org/t/p/original/kSlO1pHpwQfPQdgVPr7dJiJNtJ8.jpg,0||
11061,ANIME,Hunter x Hunter (2011),"Hunters devote themselves to accomplishing hazardous tasks, all from traversing the world's uncharted territories to locating rare items and monsters. Before becoming a Hunter, one must pass the Hunter Examination—a high-risk selection process in which most applicants end up handicapped or worse, deceased.

Ambitious participants who challenge the notorious exam carry their own reason. What drives 12-year-old Gon Freecss is finding Ging, his father and a Hunter himself. Believing that he will meet his father by becoming a Hunter, Gon takes the first step to walk the same path.

During the Hunter Examination, Gon befriends the medical student Leorio Paladiknight, the vindictive Kurapika, and ex-assassin Killua Zoldyck. While their motives vastly differ from each other, they band together for a common goal and begin to venture into a perilous world.

[Written by MAL Rewrite]",Action;Adventure;Fantasy;Shounen,9.03,null,https://cdn.myanimelist.net/images/anime/1337/99013.webp,https://cdn.myanimelist.net/images/anime/1337/99013l.webp,148|Madhouse|finished_airing|
298629,TV_SHOW,Halef,"Serhat, a successful surgeon who escaped his destiny in Urfa and built a new life in Istanbul, married to Melek, is forced to return to his village to become an aga and marry Yildiz to end the family feud. With Melek's arrival at the palace, he finds himself caught between love and duty, while buried secrets of the past are gradually revealed.",Genre 18,10.0,2025-09-18,https://image.tmdb.org/t/p/w500/8klMsEhz5erz1a8Njrb4x3EnyEl.jpg,https://image.tmdb.org/t/p/original/nprBdtryh9CHTApmMhv72vfAjsi.jpg,0|0||
219246,TV_SHOW,When Life Gives You Tangerines,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs — proving love endures across time.",Genre 18,8.755,2025-03-07,https://image.tmdb.org/t/p/w500/1VC3sEFxYXYDqQUCAnvWfUsYg1s.jpg,https://image.tmdb.org/t/p/original/mwczMJeoQrsPERcyP1e900jo3Jv.jpg,0|0||
153312,TV_SHOW,Tulsa King,"New York mafia capo Dwight ""The General"" Manfredi is released from prison after 25 years and exiled by his boss to set up shop in Tulsa, Oklahoma. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a crew.",Genre 80;Genre 18;Genre 35,8.316,2022-11-13,https://image.tmdb.org/t/p/w500/rOYLWCdAifpUtPlTf1WHxyaxeMt.jpg,https://image.tmdb.org/t/p/original/mNHRGO1gFpR2CYZdANe72kcKq7G.jpg,0|0||
5266,TV_SHOW,University Challenge,Academic quiz show where teams of students from UK universities answer questions on all manner of subjects.,Genre 10767;Genre 10751,6.0,1962-09-21,https://image.tmdb.org/t/p/w500/yDLoEEFW3D6XSyT8UynTghc1Dyw.jpg,https://image.tmdb.org/t/p/original/rouizkkCFwqEzrgsjAiByx6Pd1S.jpg,0|0||
28977,ANIME,Gintama°,"Gintoki, Shinpachi, and Kagura return as the fun-loving but broke members of the Yorozuya team! Living in an alternate-reality Edo, where swords are prohibited and alien overlords have conquered Japan, they try to thrive on doing whatever work they can get their hands on. However, Shinpachi and Kagura still haven't been paid... Does Gin-chan really spend all that cash playing pachinko?

Meanwhile, when Gintoki drunkenly staggers home one night, an alien spaceship crashes nearby. A fatally injured crew member emerges from the ship and gives Gintoki a strange, clock-shaped device, warning him that it is incredibly powerful and must be safeguarded. Mistaking it for his alarm clock, Gintoki proceeds to smash the device the next morning and suddenly discovers that the world outside his apartment has come to a standstill. With Kagura and Shinpachi at his side, he sets off to get the device fixed; though, as usual, nothing is ever that simple for the Yorozuya team.

Filled with tongue-in-cheek humor and moments of heartfelt emotion, Gintama's fourth season finds Gintoki and his friends facing both their most hilarious misadventures and most dangerous crises yet.

[Written by MAL Rewrite]",Action;Comedy;Gag Humor;Historical;Parody;Samurai;Sci-Fi;Shounen,9.05,null,https://cdn.myanimelist.net/images/anime/3/72078.jpg,https://cdn.myanimelist.net/images/anime/3/72078l.jpg,51|Bandai Namco Pictures|finished_airing|
246621,TV_SHOW,Mehmed: Sultan of Conquests,"The project, which will follow the story on the life of one of the most important rulers in Ottoman history, Fatih Sultan Mehmed, will also feature important stages of the life of Eyüp el Ensari, an important figure in the Islamic world, in parallel with Fatih's life.",Genre 10768;Genre 18,7.909,2024-02-27,https://image.tmdb.org/t/p/w500/A8fHgHmcEQU1UcOcXhW3NXtwwcZ.jpg,https://image.tmdb.org/t/p/original/bJxf4Y8UKOBsWoE3gB6N0hfB04G.jpg,0|0||
33095,ANIME,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,"Even after having risen to the utmost rank of shin'uchi, Yotarou struggles to find his own identity in the world of rakugo. Caught between his master's teachings and the late Sukeroku's unique style, his performance lacks an important ingredient—ego. And while his popularity packs the theaters, he is but one of the few; rakugo is under threat of being eclipsed.

Meanwhile Yakumo, regarded by many as the last bastion of preserving the popularity of rakugo, struggles to cope with his elderly state. Even though his performances are still stellar, he fears that he is nearing his limits. His doubts grow stronger as an old friend creeps ever closer. Konatsu, for her part, attempts to raise her son as a single mother, which Yotarou is heavily opposed to. Instead, he seeks to persuade her to marry him and in turn raise her son as his own.

In Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen, the curtains fall on Yotarou and Yakumo's story, tasked with restoring the near-obsolete art form as well as overcoming their internal conflicts.

[Written by MAL Rewrite]",Adult Cast;Drama;Historical;Josei;Love Polygon;Performing Arts,8.7,null,https://cdn.myanimelist.net/images/anime/1493/124765.webp,https://cdn.myanimelist.net/images/anime/1493/124765l.webp,12|Studio Deen|finished_airing|
31356,TV_SHOW,Big Time Rush,"Four teenage friends move from Minneapolis to Los Angeles to form a potential chart-topping boy band after Kendall is inadvertently discovered by an eccentric record executive, Gustavo Rocque. As they seize this opportunity of a lifetime, these friends embark on an exciting comedy and music-filled journey to prove to themselves and their record label that they are serious about their new career choice.",Genre 35;Genre 10762,8.575,2009-11-28,https://image.tmdb.org/t/p/w500/9N61wXR7FqsuByDVSEjM6qcPhKH.jpg,https://image.tmdb.org/t/p/original/vctELFdxJdQBtgPlJFiF6aNnUcQ.jpg,0|0||
